what,kind,bundleId,bundleVersion,description,time
arch,sysinfo,,,"x86",1399330098286
ws,sysinfo,,,"win32",1399330098286
locale,sysinfo,,,"en_US",1399330098286
processors,sysinfo,,,"2",1399330098287
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1399330098287
java.runtime.version,sysinfo,,,"1.8.0_05-b13",1399330098287
java.specification.name,sysinfo,,,"Java Platform API Specification",1399330098287
java.specification.vendor,sysinfo,,,"Oracle Corporation",1399330098287
java.specification.version,sysinfo,,,"1.8",1399330098287
java.vendor,sysinfo,,,"Oracle Corporation",1399330098287
java.version,sysinfo,,,"1.8.0_05",1399330098287
java.vm.info,sysinfo,,,"mixed mode",1399330098287
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1399330098287
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1399330098287
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1399330098287
java.vm.specification.version,sysinfo,,,"1.8",1399330098287
java.vm.vendor,sysinfo,,,"Oracle Corporation",1399330098287
java.vm.version,sysinfo,,,"25.5-b02",1399330098287
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1399330098308
started,bundle,org.eclipse.emf.common,2.6.0.v20100914-1218,"org.eclipse.emf.common",1399330098579
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1399330098580
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1399330098753
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1399330098948
started,bundle,org.eclipse.emf.ecore,2.6.1.v20100914-1218,"org.eclipse.emf.ecore",1399330099194
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1399330100596
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.102.v201008182136,"org.eclipse.jst.common.project.facet.core",1399330101073
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.201.v201011231540,"org.eclipse.jst.ws.jaxrs.core",1399330101091
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399330141737
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399330803366
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399330805437
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399334149058
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399334149725
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399335232304
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399335233796
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399335235188
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399335235459
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399335238820
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1399335242777
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1399335243962
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1399335245463
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1399335245612
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1399335245814
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1399335245914
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1399335246096
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1399335246230
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1399335246254
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1399335246278
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1399335246334
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.1.v201004090942,"org.eclipse.datatools.connectivity.oda.template.ui",1399335246369
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1399335246400
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1399335246618
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1399335246679
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1399336073928
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1399336073928
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1399336073928
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1399336073975
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1399336073975
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1399336073975
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1399336074084
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1399336074084
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1399336074084
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1399336074084
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1399336074084
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1399336074084
started,bundle,org.eclipse.core.resources,3.6.1.R36x_v20110131-1630,"org.eclipse.core.resources",1399336074100
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1399336074100
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1399336074100
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1399336074100
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1399336074100
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1399336074100
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1399336074100
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1399336074100
